run                           ep | val_depth val_rot  val_tr | TEST_depth TEST_rot TEST_tr
A_blender                     50 |   0.00985    5.47  0.0283 |    0.06750     7.84  0.0352
A_blender_bgsub               50 |   0.01030    5.28  0.0281 |    0.06624     5.56  0.0356
A_diffloo                     50 |   0.00961    5.87  0.0289 |    0.06267     6.28  0.0395
A_ganfull                     50 |   0.00980    5.71  0.0293 |    0.04550     6.73  0.0372
A_ganloo                      50 |   0.00940    5.84  0.0287 |    0.06122     7.64  0.0386
A_ganloo_9obj                 50 |   0.00969    5.76  0.0291 |    0.06223    55.26  0.0669
A_hybloo                      50 |   0.01032    5.94  0.0286 |    0.06822     8.52  0.0412
A_realonly                    50 |   0.01148    3.84  0.0214 |    0.06593    48.35  0.0883
A_realonly_bgsub              50 |   0.01209    3.78  0.0194 |    0.06433    50.87  0.0853
B_k0_blender                  50 |   0.07858    9.04  0.0471 | 
B_k0_ganfull                  50 |   0.04642    7.96  0.0454 | 
B_k100_blender                50 |   0.03412    5.29  0.0299 | 
B_k100_diff                   50 |   0.03079    5.59  0.0310 | 
B_k100_ganfull                50 |   0.02725    5.38  0.0306 | 
B_k100_gank                   50 |   0.02989    5.48  0.0306 | 
B_k100_hyb                    50 |   0.03402    5.53  0.0308 | 
B_k100_realonly               50 |   0.03674    3.87  0.0231 | 
B_k10_blender                 50 |   0.06333    6.30  0.0349 | 
B_k10_diff                    50 |   0.06137    6.86  0.0402 | 
B_k10_ganfull                 50 |   0.04845    6.14  0.0367 | 
B_k10_gank                    50 |   0.06199    6.72  0.0385 | 
B_k10_hyb                     50 |   0.06135    6.76  0.0377 | 
B_k10_realonly                50 |   0.06390   10.07  0.0454 | 
B_k25_blender                 50 |   0.05688    5.64  0.0320 | 
B_k25_blender_bgsub           50 |   0.05618    5.57  0.0330 | 
B_k25_diff                    50 |   0.05536    6.07  0.0336 | 
B_k25_ganfull                 50 |   0.04234    5.86  0.0330 | 
B_k25_gank                    50 |   0.05391    5.93  0.0332 | 
B_k25_hyb                     50 |   0.05499    6.05  0.0332 | 
B_k25_realonly                50 |   0.05579    5.53  0.0309 | 
B_k25_realonly_bgsub          50 |   0.05557    5.71  0.0293 | 
